Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
Yes,3,29,male,27.0,0,0,350043,7.7958,S
No,3,254,female,9.0,2,2,W./C. 6608,34.375,S
No,2,579,male,36.5,0,2,230080,26.0,S
No,2,121,male,42.0,0,0,244310,13.0,S
No,2,68,male,51.0,0,0,S.O.P. 1166,12.525,S
Yes,1,642,female,22.0,1,0,113776,66.6,S
No,3,531,male,55.5,0,0,A.5. 11206,8.05,S
No,3,887,male,40.5,0,2,A/5. 851,14.5,S
No,3,611,male,28.0,0,0,Fa 265302,7.3125,S
No,1,864,male,51.0,0,1,PC 17597,61.3792,C
Yes,3,287,female,16.0,0,0,35851,7.7333,Q
No,3,181,male,30.0,0,0,SOTON/OQ 392090,8.05,S
No,3,766,male,28.0,0,0,315037,8.6625,S
No,3,715,male,28.0,8,2,CA. 2343,69.55,S
No,3,186,male,44.0,0,1,371362,16.1,S
Yes,2,845,female,40.0,0,0,C.A. 33595,15.75,S
No,3,82,male,26.0,0,0,347068,7.775,S
No,3,129,male,17.0,0,0,315093,8.6625,S
No,3,627,male,1.0,4,1,3101295,39.6875,S
Yes,3,293,male,9.0,0,2,363291,20.525,S
Yes,1,157,female,28.0,0,1,113505,55.0,S
No,3,759,female,45.0,1,4,347088,27.9,S
No,1,69,male,28.0,0,0,PC 17318,25.925,S
No,3,485,male,28.0,0,0,1601,56.4958,S
No,1,830,male,61.0,0,0,111240,33.5,S
No,3,679,male,4.0,4,1,382652,29.125,Q
Yes,3,407,female,1.0,1,1,347742,11.1333,S
No,3,751,male,21.0,0,0,STON/O 2. 3101280,7.925,S
No,1,768,male,56.0,0,0,17764,30.6958,C
No,3,443,male,18.0,1,1,350404,7.8542,S
No,3,463,male,28.0,3,1,4133,25.4667,S
No,1,387,female,50.0,0,0,PC 17595,28.7125,C
No,2,320,male,30.0,0,0,250653,13.0,S
No,3,473,male,36.0,0,0,LINE,0.0,S
No,3,716,female,28.0,8,2,CA. 2343,69.55,S
No,2,649,male,28.0,0,0,SC/PARIS 2131,15.05,C
No,3,41,male,9.0,4,2,347077,31.3875,S
Yes,2,76,male,1.0,2,1,230136,39.0,S
Yes,3,440,female,4.0,0,2,315153,22.025,S
No,1,699,male,28.0,0,0,113767,50.0,S
Yes,3,600,female,28.0,1,0,370365,15.5,Q
Yes,1,697,male,45.0,0,0,111428,26.55,S
No,3,101,male,40.0,1,1,364849,15.5,Q
No,3,821,male,36.0,0,0,349247,7.8958,S
Yes,2,663,female,32.0,0,0,234604,13.0,S
No,2,136,male,19.0,0,0,28424,13.0,S
Yes,3,20,female,19.0,1,0,350046,7.8542,S
Yes,2,578,male,3.0,1,1,230080,26.0,S
Yes,1,113,female,44.0,0,0,PC 17610,27.7208,C
Yes,1,494,female,58.0,0,0,PC 17569,146.5208,C
No,3,532,male,28.0,0,0,368703,7.75,Q
No,3,610,male,42.0,0,1,4579,8.4042,S
Yes,3,496,female,28.0,0,0,370370,7.75,Q
No,2,879,female,24.0,0,0,248747,13.0,S
No,3,832,male,28.0,0,0,345770,9.5,S
No,3,720,male,28.0,8,2,CA. 2343,69.55,S
No,3,402,male,34.0,0,0,3101264,6.4958,S
No,3,876,male,45.5,0,0,2628,7.225,C
Yes,3,166,male,18.0,0,0,A/5 3540,8.05,S
No,3,787,female,2.0,0,1,347054,10.4625,S
No,3,51,male,32.0,1,0,3101278,15.85,S
Yes,3,9,male,26.0,0,0,2699,18.7875,C
Yes,3,140,female,16.0,0,0,367231,7.75,Q
Yes,1,94,male,40.0,0,0,112277,31.0,C
No,3,12,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,S
Yes,2,131,female,35.0,0,0,F.C.C. 13528,21.0,S
No,3,648,male,22.0,0,0,A/5 21174,7.25,S
No,2,288,male,30.0,0,0,250646,13.0,S
No,3,436,male,28.0,1,0,367229,7.75,Q
Yes,1,581,female,31.0,1,0,35273,113.275,C
Yes,3,375,female,27.0,0,0,STON/O2. 3101283,7.925,S
No,2,389,male,42.0,1,0,243847,27.0,S
Yes,1,72,female,32.0,0,0,11813,76.2917,C
No,2,338,male,30.0,0,0,W/C 14208,10.5,S
Yes,3,789,male,16.0,0,0,SOTON/OQ 392089,8.05,S
No,2,105,male,27.0,0,0,220367,13.0,S
No,3,306,male,51.0,0,0,21440,8.05,S
No,3,580,male,28.0,0,0,349234,7.8958,S
Yes,1,379,male,38.0,1,0,19943,90.0,S
No,3,83,male,22.0,0,0,PP 4348,9.35,S
Yes,2,530,male,19.0,0,0,SW/PP 751,10.5,S
No,3,491,male,20.5,0,0,A/5 21173,7.25,S
No,2,243,male,18.0,0,0,236171,13.0,S
No,3,466,female,28.0,3,1,4133,25.4667,S
Yes,1,339,female,35.0,1,0,36973,83.475,S
No,3,459,male,29.0,0,0,347067,7.775,S
No,2,753,male,59.0,0,0,237442,13.5,S
Yes,3,43,female,5.0,4,2,347077,31.3875,S
No,2,478,male,24.0,0,0,C.A. 29566,10.5,S
No,3,329,female,28.0,0,0,W./C. 6609,7.55,S
No,2,370,male,44.0,1,0,26707,26.0,S
Yes,2,172,female,8.0,0,2,C.A. 31921,26.25,S
No,2,647,male,19.0,0,0,28665,10.5,S
No,2,383,male,33.0,0,0,SCO/W 1585,12.275,S
No,3,881,female,28.0,1,0,2665,14.4542,C
Yes,3,566,female,28.0,1,0,367230,15.5,Q
No,2,169,male,29.0,0,0,W./C. 14263,10.5,S
No,3,499,male,22.0,0,0,STON/O 2. 3101275,7.125,S
No,3,47,male,30.0,0,0,2694,7.225,C
No,1,538,male,44.0,2,0,19928,90.0,Q
No,3,480,female,25.0,0,0,347071,7.775,S
Yes,2,322,female,24.0,0,2,250649,14.5,S
Yes,1,78,male,37.0,1,1,11751,52.5542,S
No,2,147,male,54.0,1,0,244252,26.0,S
No,3,672,male,28.0,0,0,362316,7.25,S
No,3,788,female,29.0,1,1,347054,10.4625,S
No,1,781,male,62.0,0,0,113514,26.55,S
No,3,486,male,30.0,1,0,A/5. 3336,16.1,S
No,3,701,female,41.0,0,2,370129,20.2125,S
Yes,3,817,female,29.0,0,2,2650,15.2458,C
Yes,1,806,female,28.0,0,0,PC 17585,79.2,C
Yes,1,156,female,30.0,0,0,110152,86.5,S
Yes,1,842,female,35.0,0,0,PC 17755,512.3292,C
Yes,2,635,female,50.0,0,1,230433,26.0,S
No,3,770,male,28.0,0,0,384461,7.75,Q
Yes,3,42,male,3.0,4,2,347077,31.3875,S
No,1,797,male,52.0,1,1,110413,79.65,S
No,1,340,male,40.0,0,0,112059,0.0,S
No,3,356,female,28.0,0,0,382649,7.75,Q
No,2,673,male,36.0,0,0,C.A. 17248,10.5,S
No,3,630,male,16.0,4,1,3101295,39.6875,S
Yes,3,651,male,25.0,1,0,347083,7.775,S
Yes,1,305,female,58.0,0,1,PC 17582,153.4625,S
Yes,1,91,female,35.0,0,0,PC 17760,135.6333,S
No,1,125,male,28.0,0,0,113798,31.0,S
Yes,3,815,male,25.0,0,0,LINE,0.0,S
Yes,2,529,female,41.0,0,1,250644,19.5,S
No,1,576,male,37.0,0,1,PC 17596,29.7,C
Yes,3,350,female,28.0,0,0,370375,7.75,Q
Yes,1,33,female,63.0,1,0,13502,77.9583,S
No,3,481,female,45.0,0,0,347073,7.75,S
No,2,633,male,28.0,0,0,239853,0.0,S
No,3,680,male,7.0,4,1,382652,29.125,Q
Yes,3,2,female,35.0,1,1,C.A. 2673,20.25,S
No,3,227,male,65.0,0,0,336439,7.75,Q
No,3,613,male,28.0,0,0,347464,7.8542,S
No,3,885,male,16.0,0,0,345778,9.5,S
Yes,3,221,male,19.0,0,0,A/5. 10482,8.05,S
No,1,769,male,28.0,0,0,113056,26.0,S
No,3,778,male,33.0,0,0,349239,8.6625,C
Yes,3,884,male,30.0,0,0,345774,9.5,S
No,3,569,male,22.0,0,0,349206,7.8958,S
Yes,2,378,male,42.0,0,0,237798,13.0,S
Yes,3,177,female,22.0,0,0,370373,7.75,Q
Yes,1,65,female,26.0,0,0,19877,78.85,S
Yes,1,90,female,19.0,1,0,11967,91.0792,C
No,2,476,male,36.0,0,0,SC/Paris 2163,12.875,C
No,3,315,female,24.0,0,0,349236,8.85,S
No,3,540,male,24.0,0,0,349233,7.8958,S
No,1,477,male,28.0,0,0,PC 17612,27.7208,C
No,3,324,male,23.5,0,0,2693,7.2292,C
No,1,17,female,2.0,1,2,113781,151.55,S
Yes,1,713,male,28.0,0,0,19988,30.5,S
Yes,1,71,female,50.0,0,1,PC 17558,247.5208,C
Yes,3,430,female,28.0,0,0,9234,7.75,Q
Yes,3,517,male,28.0,2,0,367226,23.25,Q
No,3,410,male,19.0,0,0,LINE,0.0,S
Yes,2,427,female,28.0,0,0,226593,12.35,Q
No,3,866,male,28.0,0,0,A/5 2466,8.05,S
Yes,1,16,male,0.92,1,2,113781,151.55,S
Yes,1,248,female,28.0,0,0,17421,110.8833,C
Yes,1,646,female,17.0,1,0,PC 17758,108.9,C
No,2,3,male,30.0,1,0,P/PP 3381,24.0,C
Yes,1,263,female,30.0,0,0,PC 17485,56.9292,C
Yes,1,348,female,24.0,0,0,11767,83.1583,C
Yes,1,709,female,18.0,2,2,PC 17608,262.375,C
No,2,448,female,26.0,1,1,250651,26.0,S
No,3,355,male,28.0,0,0,349243,7.8958,S
No,2,342,male,43.0,1,1,F.C.C. 13529,26.25,S
Yes,3,589,female,26.0,0,0,347470,7.8542,S
Yes,2,422,female,24.0,1,0,244367,26.0,S
No,2,554,male,54.0,0,0,29011,14.0,S
Yes,1,857,female,31.0,0,2,36928,164.8667,S
Yes,1,774,female,40.0,1,1,16966,134.5,C
No,3,211,male,22.0,0,0,A/5 21172,7.25,S
No,3,200,male,27.0,0,0,349219,7.8958,S
Yes,2,761,female,30.0,0,0,234818,12.35,Q
Yes,2,128,female,22.0,1,1,248738,29.0,S
No,3,721,male,28.0,8,2,CA. 2343,69.55,S
Yes,1,875,female,36.0,0,0,PC 17760,135.6333,C
No,3,597,male,61.0,0,0,345364,6.2375,S
Yes,2,60,female,36.0,0,0,28551,13.0,S
Yes,3,295,female,31.0,1,1,363291,20.525,S
Yes,1,363,female,16.0,0,1,111361,57.9792,C
Yes,3,516,female,28.0,2,0,367226,23.25,Q
No,1,636,male,45.5,0,0,113043,28.5,S
No,1,304,male,38.0,0,1,PC 17582,153.4625,S
No,3,836,male,16.0,2,0,345764,18.0,S
Yes,1,265,female,28.0,1,0,PC 17611,133.65,S
No,3,210,male,28.0,0,0,349225,7.8958,S
No,1,641,male,29.0,1,0,113776,66.6,S
Yes,1,117,female,41.0,0,0,16966,134.5,C
Yes,3,192,male,45.0,0,0,7598,8.05,S
No,1,93,male,45.0,0,0,113784,35.5,S
Yes,2,577,male,2.0,1,1,230080,26.0,S
Yes,1,258,female,24.0,3,2,19950,263.0,S
No,2,170,male,28.0,0,0,248740,13.0,S
No,2,732,male,25.0,0,0,244361,13.0,S
No,2,262,male,36.0,0,0,229236,13.0,S
Yes,2,111,female,24.0,0,0,248733,13.0,S
Yes,2,767,female,40.0,0,0,31418,13.0,S
Yes,3,207,female,28.0,1,0,386525,16.1,S
Yes,3,183,male,3.0,1,1,C.A. 37671,15.9,S
No,3,215,male,42.0,0,0,315088,8.6625,S
No,3,607,male,23.0,0,0,7267,9.225,S
No,1,868,male,28.0,0,0,113510,35.0,S
No,3,237,male,15.0,1,1,2695,7.2292,C
No,3,37,male,25.0,1,0,349237,17.8,S
No,3,877,male,28.0,0,0,2647,7.225,C
No,3,833,male,28.0,0,0,345783,9.5,S
Yes,1,104,female,22.0,0,1,113505,55.0,S
No,2,270,female,38.0,0,0,237671,13.0,S
Yes,3,521,female,28.0,0,0,330931,7.8792,Q
Yes,3,544,female,28.0,0,0,330980,7.8792,Q
No,3,758,male,40.0,1,4,347088,27.9,S
No,2,886,male,29.0,1,0,SC/PARIS 2167,27.7208,C
No,3,64,female,45.0,0,1,2691,14.4542,C
No,3,40,male,35.0,0,0,SOTON/O.Q. 3101310,7.05,S
No,3,598,male,28.0,1,0,370365,15.5,Q
No,3,5,male,30.0,0,0,C 7076,7.25,S
Yes,1,843,female,60.0,1,0,110813,75.25,C
Yes,3,561,female,28.0,0,0,2626,7.2292,C
Yes,3,399,female,28.0,0,0,14313,7.75,Q
Yes,1,48,female,24.0,0,0,PC 17477,69.3,C
Yes,1,328,male,25.0,1,0,11765,55.4417,C
No,3,861,male,18.0,1,0,3101267,6.4958,S
No,3,75,male,19.0,0,0,323951,8.05,S
No,1,689,male,22.0,0,0,PC 17760,135.6333,C
No,3,624,female,3.0,3,1,349909,21.075,S
Yes,1,535,female,28.0,1,0,PC 17604,82.1708,C
Yes,3,453,female,22.0,0,0,C 7077,7.25,S
No,1,860,male,27.0,0,2,113503,211.5,C
No,3,85,male,20.0,0,0,2648,4.0125,C
No,3,314,male,19.0,0,0,347069,7.775,S
Yes,1,86,female,42.0,0,0,PC 17757,227.525,C
Yes,3,571,female,1.0,0,2,2653,15.7417,C
No,3,809,male,32.0,0,0,STON/O 2. 3101293,7.925,S
Yes,1,373,female,35.0,1,0,113789,52.0,S
No,3,664,male,28.0,0,0,349227,7.8958,S
No,2,205,male,18.0,0,0,S.O.C. 14879,73.5,S
No,3,298,male,1.0,5,2,CA 2144,46.9,S
Yes,2,118,female,36.0,0,0,27849,13.0,S
No,3,714,male,28.0,0,0,367655,7.7292,Q
Yes,2,467,female,17.0,0,0,SC 1748,12.0,C
Yes,1,144,male,36.0,1,2,113760,120.0,S
Yes,3,392,male,21.0,0,0,350034,7.7958,S
No,3,313,male,28.0,2,0,3101277,7.925,S
Yes,1,582,female,23.0,1,0,35273,113.275,C
Yes,3,727,female,24.0,0,2,PP 9549,16.7,S
No,3,403,male,22.0,0,0,350052,7.7958,S
No,3,612,female,31.0,0,0,350407,7.8542,S
No,2,523,male,46.0,0,0,28403,26.0,S
No,2,622,male,23.0,0,0,244278,10.5,S
Yes,2,819,female,28.0,0,0,240929,12.65,S
Yes,3,591,male,39.0,0,0,STON/O 2. 3101289,7.925,S
No,3,6,male,26.0,0,0,341826,8.05,S
No,3,417,female,21.0,1,0,4137,9.825,S
No,3,318,male,28.0,1,0,STON/O2. 3101279,15.85,S
No,3,615,female,20.0,0,0,315096,8.6625,S
No,2,274,male,34.0,1,0,28664,21.0,S
No,3,859,male,51.0,0,0,347064,7.75,S
Yes,2,686,male,3.0,1,1,29106,18.75,S
No,3,88,male,21.0,0,0,312992,7.775,S
No,3,464,female,28.0,3,1,4133,25.4667,S
No,3,731,male,28.0,0,0,349222,7.8958,S
No,3,343,male,28.0,0,0,394140,6.8583,Q
Yes,1,539,female,33.0,1,0,19928,90.0,Q
No,2,191,male,28.0,0,0,239853,0.0,S
Yes,3,790,male,44.0,0,0,STON/O 2. 3101269,7.925,S
No,3,527,female,28.0,0,0,343095,8.05,S
Yes,2,226,female,34.0,1,1,28220,32.5,S
Yes,2,741,female,18.0,0,2,250652,13.0,S
No,2,512,male,30.0,0,0,28228,13.0,S
No,3,827,female,10.0,0,2,345773,24.15,S
No,3,281,male,28.0,0,0,349254,7.8958,C
No,3,155,male,21.0,0,0,A/5. 13032,7.7333,Q
No,3,882,male,29.0,0,0,315082,7.875,S
No,3,198,female,28.0,1,1,347080,14.4,S
No,3,700,male,18.0,1,1,370129,20.2125,S
No,3,870,male,28.0,0,0,A/4. 34244,7.25,S
Yes,2,162,female,28.0,1,0,2003,26.0,S
Yes,2,661,female,19.0,0,0,250655,26.0,S
No,3,249,male,28.0,0,0,364851,7.75,Q
Yes,3,662,male,32.0,0,0,SOTON/O.Q. 392078,8.05,S
Yes,1,92,male,28.0,0,0,110564,26.55,S
Yes,3,808,female,28.0,1,0,376564,16.1,S
Yes,2,490,female,42.0,1,0,SC/AH 3085,26.0,S
No,3,419,male,17.0,0,0,STON/O 2. 3101274,7.125,S
No,1,743,male,50.0,1,0,13507,55.9,S
Yes,1,143,female,14.0,1,2,113760,120.0,S
No,3,253,female,21.0,2,2,W./C. 6608,34.375,S
Yes,2,687,female,24.0,2,3,29106,18.75,S
No,1,261,male,64.0,1,4,19950,263.0,S
No,2,446,male,31.0,0,0,C.A. 18723,10.5,S
Yes,2,344,female,45.0,1,1,F.C.C. 13529,26.25,S
No,3,323,male,20.0,0,0,345769,9.5,S
No,3,658,male,25.0,1,0,347076,7.775,S
Yes,2,678,female,28.0,0,0,230434,13.0,S
Yes,3,401,male,28.0,0,0,65306,8.1125,S
Yes,1,216,male,4.0,0,2,33638,81.8583,S
Yes,2,528,female,13.0,0,1,250644,19.5,S
Yes,1,734,male,34.0,0,0,113794,26.55,S
Yes,3,55,female,5.0,2,1,2666,19.2583,C
Yes,1,660,male,52.0,0,0,113786,30.5,S
No,2,852,male,36.0,1,2,C.A. 34651,27.75,S
No,3,316,male,28.0,1,0,65303,19.9667,S
No,1,257,male,30.0,0,0,113051,27.75,C
Yes,1,290,male,49.0,1,0,17453,89.1042,C
No,3,643,male,28.0,0,0,A/5 2817,8.05,S
Yes,3,391,male,29.0,0,0,349240,7.8958,C
No,1,536,male,65.0,0,0,13509,26.55,S
Yes,1,435,female,28.0,1,0,17464,51.8625,S
Yes,2,813,female,50.0,0,0,F.C.C. 13531,10.5,S
No,3,602,male,28.0,0,0,371060,7.75,Q
Yes,1,21,male,48.0,0,0,19952,26.55,S
No,3,556,male,34.0,0,0,364506,8.05,S
No,1,280,male,47.0,0,0,111320,38.5,S
No,2,537,male,48.0,0,0,234360,13.0,S
No,3,501,male,28.0,0,0,A/S 2816,8.05,S
No,3,296,male,38.0,0,0,SOTON/O.Q. 3101306,7.05,S
No,2,132,male,28.0,0,0,239853,0.0,S
No,1,765,male,56.0,0,0,113792,26.55,S
No,3,730,male,28.0,0,0,36209,7.725,Q
Yes,3,54,female,0.75,2,1,2666,19.2583,C
No,3,429,male,28.0,0,0,323592,7.25,S
No,3,124,male,38.0,0,0,315089,8.6625,S
Yes,2,853,female,33.0,1,2,C.A. 34651,27.75,S
Yes,2,400,female,23.0,0,0,SC/AH Basle 541,13.7917,C
No,3,785,female,22.0,0,0,7553,9.8375,S
No,1,164,male,28.0,0,0,110465,52.0,S
No,2,675,male,34.0,1,0,31027,21.0,S
No,3,107,male,29.0,1,0,3460,7.0458,S
No,3,424,male,22.0,0,0,350060,7.5208,S
Yes,3,365,female,2.0,0,1,3101298,12.2875,S
No,3,297,male,9.0,5,2,CA 2144,46.9,S
No,2,268,male,28.0,0,0,239854,0.0,S
No,3,705,male,50.0,0,0,A/5 3594,8.05,S
Yes,3,823,female,63.0,0,0,4134,9.5875,S
Yes,1,89,male,25.0,1,0,11967,91.0792,C
No,3,465,female,28.0,3,1,4133,25.4667,S
Yes,1,381,female,35.0,1,0,19943,90.0,S
No,1,434,male,58.0,0,0,11771,29.7,C
No,3,773,male,30.0,0,0,A.5. 18509,8.05,S
Yes,3,182,male,9.0,1,1,C.A. 37671,15.9,S
No,3,317,male,28.0,1,0,65304,19.9667,S
No,3,869,male,21.0,0,0,SOTON/OQ 3101317,7.25,S
No,1,546,male,55.0,0,0,113787,30.5,S
No,1,39,male,71.0,0,0,PC 17609,49.5042,C
No,3,780,male,21.0,0,0,A/4 45380,8.05,S
No,3,878,male,28.0,0,0,2627,14.4583,C
Yes,1,242,female,54.0,1,0,36947,78.2667,C
No,3,737,male,28.0,0,0,C.A. 6212,15.1,S
No,1,18,female,25.0,1,2,113781,151.55,S
No,3,794,male,24.0,0,0,350035,7.7958,S
No,3,130,male,17.0,0,0,315086,8.6625,S
No,3,133,female,21.0,0,0,364846,7.75,Q
No,3,606,female,28.0,0,0,330909,7.6292,Q
No,3,449,female,37.0,0,0,4135,9.5875,S
